997 4011
put 0 0
put 997 1
put 1994 2
put 2991 3
put 3988 4
put 4985 5
put 5982 6
put 6979 7
put 7976 8
put 8973 9
put 9970 10
put 10967 11
put 11964 12
put 12961 13
put 13958 14
put 14955 15
put 15952 16
put 16949 17
put 17946 18
put 18943 19
put 19940 20
put 20937 21
put 21934 22
put 22931 23
put 23928 24
put 24925 25
put 25922 26
put 26919 27
put 27916 28
put 28913 29
put 29910 30
put 30907 31
put 31904 32
put 32901 33
put 33898 34
put 34895 35
put 35892 36
put 36889 37
put 37886 38
put 38883 39
put 39880 40
put 40877 41
put 41874 42
put 42871 43
put 43868 44
put 44865 45
put 45862 46
put 46859 47
put 47856 48
put 48853 49
put 49850 50
put 50847 51
put 51844 52
put 52841 53
put 53838 54
put 54835 55
put 55832 56
put 56829 57
put 57826 58
put 58823 59
put 59820 60
put 60817 61
put 61814 62
put 62811 63
put 63808 64
put 64805 65
put 65802 66
put 66799 67
put 67796 68
put 68793 69
put 69790 70
put 70787 71
put 71784 72
put 72781 73
put 73778 74
put 74775 75
put 75772 76
put 76769 77
put 77766 78
put 78763 79
put 79760 80
put 80757 81
put 81754 82
put 82751 83
put 83748 84
put 84745 85
put 85742 86
put 86739 87
put 87736 88
put 88733 89
put 89730 90
put 90727 91
put 91724 92
put 92721 93
put 93718 94
put 94715 95
put 95712 96
put 96709 97
put 97706 98
put 98703 99
put 99700 100
put 100697 101
put 101694 102
put 102691 103
put 103688 104
put 104685 105
put 105682 106
put 106679 107
put 107676 108
put 108673 109
put 109670 110
put 110667 111
put 111664 112
put 112661 113
put 113658 114
put 114655 115
put 115652 116
put 116649 117
put 117646 118
put 118643 119
put 119640 120
put 120637 121
put 121634 122
put 122631 123
put 123628 124
put 124625 125
put 125622 126
put 126619 127
put 127616 128
put 128613 129
put 129610 130
put 130607 131
put 131604 132
put 132601 133
put 133598 134
put 134595 135
put 135592 136
put 136589 137
put 137586 138
put 138583 139
put 139580 140
put 140577 141
put 141574 142
put 142571 143
put 143568 144
put 144565 145
put 145562 146
put 146559 147
put 147556 148
put 148553 149
put 149550 150
put 150547 151
put 151544 152
put 152541 153
put 153538 154
put 154535 155
put 155532 156
put 156529 157
put 157526 158
put 158523 159
put 159520 160
put 160517 161
put 161514 162
put 162511 163
put 163508 164
put 164505 165
put 165502 166
put 166499 167
put 167496 168
put 168493 169
put 169490 170
put 170487 171
put 171484 172
put 172481 173
put 173478 174
put 174475 175
put 175472 176
put 176469 177
put 177466 178
put 178463 179
put 179460 180
put 180457 181
put 181454 182
put 182451 183
put 183448 184
put 184445 185
put 185442 186
put 186439 187
put 187436 188
put 188433 189
put 189430 190
put 190427 191
put 191424 192
put 192421 193
put 193418 194
put 194415 195
put 195412 196
put 196409 197
put 197406 198
put 198403 199
put 199400 200
put 200397 201
put 201394 202
put 202391 203
put 203388 204
put 204385 205
put 205382 206
put 206379 207
put 207376 208
put 208373 209
put 209370 210
put 210367 211
put 211364 212
put 212361 213
put 213358 214
put 214355 215
put 215352 216
put 216349 217
put 217346 218
put 218343 219
put 219340 220
put 220337 221
put 221334 222
put 222331 223
put 223328 224
put 224325 225
put 225322 226
put 226319 227
put 227316 228
put 228313 229
put 229310 230
put 230307 231
put 231304 232
put 232301 233
put 233298 234
put 234295 235
put 235292 236
put 236289 237
put 237286 238
put 238283 239
put 239280 240
put 240277 241
put 241274 242
put 242271 243
put 243268 244
put 244265 245
put 245262 246
put 246259 247
put 247256 248
put 248253 249
put 249250 250
put 250247 251
put 251244 252
put 252241 253
put 253238 254
put 254235 255
put 255232 256
put 256229 257
put 257226 258
put 258223 259
put 259220 260
put 260217 261
put 261214 262
put 262211 263
put 263208 264
put 264205 265
put 265202 266
put 266199 267
put 267196 268
put 268193 269
put 269190 270
put 270187 271
put 271184 272
put 272181 273
put 273178 274
put 274175 275
put 275172 276
put 276169 277
put 277166 278
put 278163 279
put 279160 280
put 280157 281
put 281154 282
put 282151 283
put 283148 284
put 284145 285
put 285142 286
put 286139 287
put 287136 288
put 288133 289
put 289130 290
put 290127 291
put 291124 292
put 292121 293
put 293118 294
put 294115 295
put 295112 296
put 296109 297
put 297106 298
put 298103 299
put 299100 300
put 300097 301
put 301094 302
put 302091 303
put 303088 304
put 304085 305
put 305082 306
put 306079 307
put 307076 308
put 308073 309
put 309070 310
put 310067 311
put 311064 312
put 312061 313
put 313058 314
put 314055 315
put 315052 316
put 316049 317
put 317046 318
put 318043 319
put 319040 320
put 320037 321
put 321034 322
put 322031 323
put 323028 324
put 324025 325
put 325022 326
put 326019 327
put 327016 328
put 328013 329
put 329010 330
put 330007 331
put 331004 332
put 332001 333
put 332998 334
put 333995 335
put 334992 336
put 335989 337
put 336986 338
put 337983 339
put 338980 340
put 339977 341
put 340974 342
put 341971 343
put 342968 344
put 343965 345
put 344962 346
put 345959 347
put 346956 348
put 347953 349
put 348950 350
put 349947 351
put 350944 352
put 351941 353
put 352938 354
put 353935 355
put 354932 356
put 355929 357
put 356926 358
put 357923 359
put 358920 360
put 359917 361
put 360914 362
put 361911 363
put 362908 364
put 363905 365
put 364902 366
put 365899 367
put 366896 368
put 367893 369
put 368890 370
put 369887 371
put 370884 372
put 371881 373
put 372878 374
put 373875 375
put 374872 376
put 375869 377
put 376866 378
put 377863 379
put 378860 380
put 379857 381
put 380854 382
put 381851 383
put 382848 384
put 383845 385
put 384842 386
put 385839 387
put 386836 388
put 387833 389
put 388830 390
put 389827 391
put 390824 392
put 391821 393
put 392818 394
put 393815 395
put 394812 396
put 395809 397
put 396806 398
put 397803 399
put 398800 400
put 399797 401
put 400794 402
put 401791 403
put 402788 404
put 403785 405
put 404782 406
put 405779 407
put 406776 408
put 407773 409
put 408770 410
put 409767 411
put 410764 412
put 411761 413
put 412758 414
put 413755 415
put 414752 416
put 415749 417
put 416746 418
put 417743 419
put 418740 420
put 419737 421
put 420734 422
put 421731 423
put 422728 424
put 423725 425
put 424722 426
put 425719 427
put 426716 428
put 427713 429
put 428710 430
put 429707 431
put 430704 432
put 431701 433
put 432698 434
put 433695 435
put 434692 436
put 435689 437
put 436686 438
put 437683 439
put 438680 440
put 439677 441
put 440674 442
put 441671 443
put 442668 444
put 443665 445
put 444662 446
put 445659 447
put 446656 448
put 447653 449
put 448650 450
put 449647 451
put 450644 452
put 451641 453
put 452638 454
put 453635 455
put 454632 456
put 455629 457
put 456626 458
put 457623 459
put 458620 460
put 459617 461
put 460614 462
put 461611 463
put 462608 464
put 463605 465
put 464602 466
put 465599 467
put 466596 468
put 467593 469
put 468590 470
put 469587 471
put 470584 472
put 471581 473
put 472578 474
put 473575 475
put 474572 476
put 475569 477
put 476566 478
put 477563 479
put 478560 480
put 479557 481
put 480554 482
put 481551 483
put 482548 484
put 483545 485
put 484542 486
put 485539 487
put 486536 488
put 487533 489
put 488530 490
put 489527 491
put 490524 492
put 491521 493
put 492518 494
put 493515 495
put 494512 496
put 495509 497
put 496506 498
put 497503 499
put 498500 500
put 499497 501
put 500494 502
put 501491 503
put 502488 504
put 503485 505
